name	region	le1960	le2019	GDP_PC1960	GDP_PC2019	population1960	population2019
Eswatini	Africa	43.572	60.194	NA	4818.19217	336583	1148130
Sint Maarten (Dutch part)	Americas	NA	NA	NA	NA	2833	40733
Seychelles	Africa	NA	73.9439	2829.64066	15048.74693	41700	97625
Syrian Arab Republic	Asia	51.971	72.697	NA	NA	4573512	17070135
Turks and Caicos Islands	Americas	NA	NA	NA	NA	5824	38191
Chad	Africa	38.02	54.239	696.95247	813.71989	3001609	15946876
Togo	Africa	40.297	61.042	374.64595	696.07694	1580513	8082366
Thailand	Asia	54.701	77.15	570.85779	6501.55606	27397207	69625582
Tajikistan	Asia	50.613	71.097	NA	1121.13023	2087049	9321018
Turkmenistan	Asia	54.471	68.191	NA	NA	1603258	5942089
Timor-Leste	Asia	33.729	69.495	NA	977.75127	474532	1293119
Tonga	Oceania	59.885	70.907	NA	4355.07543	61577	104494
Trinidad and Tobago	Americas	62.222	73.507	4006.72164	15105.05233	847979	1394973
Tunisia	Africa	42.021	76.699	NA	4405.01691	4178236	11694719
Turkey	Asia	45.369	77.691	3174.8414	15125.39112	27472345	83429615
Tuvalu	Oceania	NA	NA	NA	3943.35639	5323	11646
Tanzania, United Republic of	Africa	43.6	65.456	NA	985.44817	10052152	58005463
Uganda	Africa	44.359	63.368	NA	962.53521	6767095	44269594
Ukraine	Europe	68.29954	71.82732	NA	3224.93517	42664652	44386203
Uruguay	Americas	67.783	77.911	5474.63878	14597.3081	2538643	3461734
United States of America	Americas	69.77073	78.7878	17562.66615	55753.14437	180671000	328239523
Uzbekistan	Asia	58.835	71.725	NA	2459.01624	8526300	33580350
Saint Vincent and the Grenadines	Americas	59.26	72.534	1751.86291	6862.91432	80977	110589
Venezuela (Bolivarian Republic of)	Americas	59.831	72.064	12457.20696	NA	8141841	28515829
Virgin Islands (British)	Americas	NA	NA	NA	NA	8048	30030
Virgin Islands (U.S.)	Americas	66.22485	79.66829	NA	NA	32500	106669
Viet Nam	Asia	59.039	75.4	NA	2082.24369	32670039	96462106
Vanuatu	Oceania	48.975	70.474	NA	2887.30536	63689	299882
Samoa	Oceania	56.902	73.321	NA	3869.28783	108629	197097
Yemen	Asia	29.919	66.125	NA	631.48788	5315355	29161922
South Africa	Africa	48.406	64.131	4624.07703	7345.96279	17099836	58558267
Zambia	Africa	46.687	63.886	1495.70522	1653.8294	3070776	17861030
Zimbabwe	Africa	53.019	61.49	994.69785	1183.09882	3776681	14645468
