code2	country	date	type	count	lockdown	population
DK	Denmark	2020-03-03	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-04	Confirmed	10	2020-03-11	5837213
DK	Denmark	2020-03-04	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-05	Confirmed	10	2020-03-11	5837213
DK	Denmark	2020-03-05	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-06	Confirmed	23	2020-03-11	5837213
DK	Denmark	2020-03-06	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-07	Confirmed	23	2020-03-11	5837213
DK	Denmark	2020-03-07	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-08	Confirmed	35	2020-03-11	5837213
DK	Denmark	2020-03-08	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-09	Confirmed	90	2020-03-11	5837213
DK	Denmark	2020-03-09	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-10	Confirmed	262	2020-03-11	5837213
DK	Denmark	2020-03-10	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-11	Confirmed	442	2020-03-11	5837213
DK	Denmark	2020-03-11	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-12	Confirmed	615	2020-03-11	5837213
DK	Denmark	2020-03-12	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-13	Confirmed	801	2020-03-11	5837213
DK	Denmark	2020-03-13	Deaths	0	2020-03-11	5837213
DK	Denmark	2020-03-14	Confirmed	827	2020-03-11	5837213
DK	Denmark	2020-03-14	Deaths	1	2020-03-11	5837213
DK	Denmark	2020-03-15	Confirmed	864	2020-03-11	5837213
DK	Denmark	2020-03-15	Deaths	2	2020-03-11	5837213
DK	Denmark	2020-03-16	Confirmed	914	2020-03-11	5837213
DK	Denmark	2020-03-16	Deaths	3	2020-03-11	5837213
DK	Denmark	2020-03-17	Confirmed	977	2020-03-11	5837213
DK	Denmark	2020-03-17	Deaths	4	2020-03-11	5837213
DK	Denmark	2020-03-18	Confirmed	1057	2020-03-11	5837213
DK	Denmark	2020-03-18	Deaths	4	2020-03-11	5837213
DK	Denmark	2020-03-19	Confirmed	1151	2020-03-11	5837213
DK	Denmark	2020-03-19	Deaths	6	2020-03-11	5837213
DK	Denmark	2020-03-20	Confirmed	1255	2020-03-11	5837213
DK	Denmark	2020-03-20	Deaths	9	2020-03-11	5837213
DK	Denmark	2020-03-21	Confirmed	1326	2020-03-11	5837213
DK	Denmark	2020-03-21	Deaths	13	2020-03-11	5837213
DK	Denmark	2020-03-22	Confirmed	1395	2020-03-11	5837213
DK	Denmark	2020-03-22	Deaths	13	2020-03-11	5837213
DK	Denmark	2020-03-23	Confirmed	1450	2020-03-11	5837213
DK	Denmark	2020-03-23	Deaths	24	2020-03-11	5837213
DK	Denmark	2020-03-24	Confirmed	1591	2020-03-11	5837213
DK	Denmark	2020-03-24	Deaths	32	2020-03-11	5837213
DK	Denmark	2020-03-25	Confirmed	1724	2020-03-11	5837213
DK	Denmark	2020-03-25	Deaths	34	2020-03-11	5837213
DK	Denmark	2020-03-26	Confirmed	1877	2020-03-11	5837213
DK	Denmark	2020-03-26	Deaths	41	2020-03-11	5837213
DK	Denmark	2020-03-27	Confirmed	2046	2020-03-11	5837213
DK	Denmark	2020-03-27	Deaths	52	2020-03-11	5837213
DK	Denmark	2020-03-28	Confirmed	2201	2020-03-11	5837213
DK	Denmark	2020-03-28	Deaths	65	2020-03-11	5837213
DK	Denmark	2020-03-29	Confirmed	2395	2020-03-11	5837213
DK	Denmark	2020-03-29	Deaths	72	2020-03-11	5837213
DK	Denmark	2020-03-30	Confirmed	2577	2020-03-11	5837213
DK	Denmark	2020-03-30	Deaths	77	2020-03-11	5837213
DK	Denmark	2020-03-31	Confirmed	2860	2020-03-11	5837213
DK	Denmark	2020-03-31	Deaths	90	2020-03-11	5837213
DK	Denmark	2020-04-01	Confirmed	3107	2020-03-11	5837213
DK	Denmark	2020-04-01	Deaths	104	2020-03-11	5837213
DK	Denmark	2020-04-02	Confirmed	3386	2020-03-11	5837213
DK	Denmark	2020-04-02	Deaths	123	2020-03-11	5837213
DK	Denmark	2020-04-03	Confirmed	3757	2020-03-11	5837213
DK	Denmark	2020-04-03	Deaths	139	2020-03-11	5837213
DK	Denmark	2020-04-04	Confirmed	4077	2020-03-11	5837213
DK	Denmark	2020-04-04	Deaths	161	2020-03-11	5837213
DK	Denmark	2020-04-05	Confirmed	4369	2020-03-11	5837213
DK	Denmark	2020-04-05	Deaths	179	2020-03-11	5837213
DK	Denmark	2020-04-06	Confirmed	4681	2020-03-11	5837213
DK	Denmark	2020-04-06	Deaths	187	2020-03-11	5837213
DK	Denmark	2020-04-07	Confirmed	5071	2020-03-11	5837213
DK	Denmark	2020-04-07	Deaths	203	2020-03-11	5837213
DK	Denmark	2020-04-08	Confirmed	5402	2020-03-11	5837213
DK	Denmark	2020-04-08	Deaths	218	2020-03-11	5837213
DK	Denmark	2020-04-09	Confirmed	5635	2020-03-11	5837213
DK	Denmark	2020-04-09	Deaths	237	2020-03-11	5837213
DK	Denmark	2020-04-10	Confirmed	5819	2020-03-11	5837213
DK	Denmark	2020-04-10	Deaths	247	2020-03-11	5837213
DK	Denmark	2020-04-11	Confirmed	5996	2020-03-11	5837213
DK	Denmark	2020-04-11	Deaths	260	2020-03-11	5837213
DK	Denmark	2020-04-12	Confirmed	6174	2020-03-11	5837213
DK	Denmark	2020-04-12	Deaths	273	2020-03-11	5837213
DK	Denmark	2020-04-13	Confirmed	6318	2020-03-11	5837213
DK	Denmark	2020-04-13	Deaths	285	2020-03-11	5837213
