rank	category	time	bib
1355	53 | F	55:52	2249
1356	60 | F	55:55	460
1357	58 | F	55:56	910
1358	9 | M	56:01	1052
1359	34 | M	56:04	3469
1359	67 | F	56:04	476
1361	53 | F	56:06	1830
1362	69 | F	56:11	321
1363	43 | M	56:15	807
1364	53 | F	56:16	493
1365	34 | M	56:21	835
1366	71 | F	56:23	1397
1367	60 | F	56:25	1031
1367	61 | F	56:25	456
1369	69 | F	56:26	44
1369	18 | F	56:26	1642
1371	72 | M	56:27	445
1372	56 | F	56:34	849
1373	34 | M	56:35	659
1374	33 | F	56:37	658
1375	70 | M	56:42	152
1375	44 | F	56:42	857
1377	45 | F	56:43	1130
1377	13 | F	56:43	591
1377	25 | F	56:43	316
1377	29 | F	56:43	1449
1381	32 | F	56:44	183
1382	59 | M	56:52	1739
1383	81 | F	56:55	100
1384	30 | F	56:58	740
1385	58 | F	56:59	739
1386	36 | F	57:08	751
1387	37 | M	57:12	752
1388	15 | F	57:15	37
1388	42 | F	57:15	1116
1390	47 | F	57:20	36
1390	0 | M	57:20	2221
1392	34 | M	57:21	13
1392	67 | F	57:21	971
1394	51 | F	57:23	723
1395	42 | F	57:24	932
1396	63 | F	57:26	916
1397	47 | F	57:27	3590
1398	26 | F	57:32	1036
1399	26 | M	57:35	1474
1400	5 | M	57:43	2192
1400	11 | M	57:43	260
1400	36 | F	57:43	259
1400	11 | F	57:43	1316
1404	32 | F	57:44	1025
1405	10 | M	57:46	1318
1405	48 | F	57:46	1308
1407	43 | F	57:47	1317
1407	63 | M	57:47	1309
1407	37 | M	57:47	258
1410	21 | F	57:48	1660
1411	23 | F	57:49	1899
1411	22 | M	57:49	1378
1413	21 | F	57:50	1556
1414	24 | F	57:59	349
1415	62 | M	58:03	1159
1416	33 | M	58:06	395
1417	21 | F	58:07	1582
1417	33 | F	58:07	562
1419	43 | M	58:08	1823
1420	40 | M	58:09	782
1421	43 | F	58:10	733
1422	48 | M	58:13	357
1423	26 | F	58:15	804
1424	60 | M	58:17	797
1424	53 | M	58:17	1581
1424	30 | M	58:17	1315
1427	36 | F	58:18	834
1427	53 | F	58:18	1583
1429	22 | F	58:20	1446
1430	27 | F	58:21	1083
1431	23 | F	58:22	611
1432	72 | F	58:26	1005
1433	28 | F	58:29	1695
1434	61 | F	58:33	527
1435	61 | F	58:34	1588
1435	63 | F	58:34	33
1437	62 | F	58:40	1205
1437	66 | M	58:40	1208
1439	9 | M	58:42	1426
1440	40 | M	58:54	1424
1441	52 | F	58:57	1937
1442	46 | F	59:19	1250
1442	41 | M	59:19	1111
1442	34 | F	59:19	219
1445	42 | F	59:25	1452
1446	68 | F	59:28	667
1447	62 | F	59:30	666
1448	12 | F	59:31	51
1449	44 | F	59:32	50
1450	38 | F	59:39	642
1451	37 | F	59:40	81
1452	52 | F	59:44	1564
1453	56 | F	59:52	1920
1453	34 | F	59:52	637
1455	42 | F	59:53	43
1456	61 | F	59:59	907
1457	33 | F	1:00:01	1619
1457	35 | M	1:00:01	1620
1459	40 | F	1:00:05	1217
1460	26 | F	1:00:09	2213
1461	70 | M	1:00:11	130
1462	50 | F	1:00:16	1018
1463	42 | M	1:00:31	776
1464	23 | F	1:00:34	856
1465	24 | F	1:00:36	332
1465	26 | F	1:00:36	1886
1467	62 | M	1:00:42	678
1467	42 | F	1:00:42	1729
1467	62 | F	1:00:42	166
1467	62 | F	1:00:42	97
1471	48 | M	1:00:43	1730
1472	18 | M	1:00:44	1516
1473	31 | F	1:00:50	1030
1474	30 | F	1:00:51	180
1475	32 | M	1:00:52	1401
1475	32 | M	1:00:52	1321
1477	54 | F	1:00:54	878
1478	32 | F	1:00:55	626
1479	60 | M	1:00:56	179
1480	29 | F	1:00:59	1430
1481	25 | F	1:01:00	19
1481	57 | F	1:01:00	181
1483	29 | F	1:01:01	1713
1483	11 |	1:01:01	2244
1485	35 | F	1:01:05	1215
1486	33 | M	1:01:08	1279
1487	34 | F	1:01:09	679
1488	20 | M	1:01:14	1404
1489	37 | M	1:01:15	1545
1490	12 |	1:01:17	765
1490	47 | F	1:01:17	764
1492	36 | F	1:01:18	1102
1493	68 | F	1:01:22	165
1494	36 | F	1:01:40	10
1495	38 | M	1:01:41	12
1496	27 | F	1:01:45	545
1497	27 | F	1:01:46	754
1498	25 | F	1:01:56	212
1499	29 | F	1:02:02	982
1500	37 | F	1:02:03	287
1501	44 | M	1:02:13	421
1501	44 | F	1:02:13	422
1503	29 | M	1:02:16	984
1504	33 | M	1:02:23	1493
1505	33 | M	1:02:25	1403
1506	47 | F	1:02:29	1299
1507	43 | M	1:02:30	1298
1508	16 | M	1:02:31	1210
1509	51 | M	1:02:33	118
1510	29 | F	1:02:36	398
1511	30 | F	1:02:37	1472
1511	50 | F	1:02:37	1406
1513	24 | F	1:02:47	1495
1514	41 | F	1:02:50	393
1515	15 | F	1:02:53	1936
1516	30 | M	1:03:00	3583
1517	36 | F	1:03:01	820
1518	33 | F	1:03:02	1435
1519	28 | F	1:03:04	1389
1519	28 | M	1:03:04	501
1521	61 | F	1:03:16	479
1521	65 | F	1:03:16	155
1523	51 | F	1:03:19	1422
1523	53 | M	1:03:19	1423
1523	20 | M	1:03:19	1420
1523	20 | F	1:03:19	758
1527	28 | F	1:03:20	1416
1528	26 | M	1:03:21	1167
1529	22 | F	1:03:22	616
1529	21 | F	1:03:22	210
1531	16 | M	1:03:27	1857
1532	65 | F	1:03:33	2191
1533	20 | F	1:03:34	45
1534	29 | F	1:03:55	921
1535	64 | F	1:03:57	920
1536	64 | M	1:03:58	919
1536	25 | M	1:03:58	1365
1538	62 | F	1:04:00	749
1539	47 | F	1:04:01	443
1540	65 | F	1:04:02	1214
1540	60 | F	1:04:02	830
1542	27 | M	1:04:06	624
1542	25 | F	1:04:06	831
1544	71 | M	1:04:10	1216
1545	36 | F	1:04:17	55
1546	61 | M	1:04:19	653
1546	34 | M	1:04:19	1034
1548	38 | F	1:04:20	54
1548	60 | F	1:04:20	654
1550	63 | F	1:04:22	568
1550	63 | M	1:04:22	569
1550	12 | F	1:04:22	655
1553	73 | M	1:04:28	1954
1554	10 | F	1:04:30	463
1555	58 | F	1:04:31	1578
1556	60 | F	1:04:32	83
1557	7 | F	1:04:34	462
1558	47 | M	1:04:38	464
1559	61 | F	1:04:40	42
1560	48 | F	1:04:46	841
1560	60 | M	1:04:46	588
1562	54 | F	1:04:47	937
1563	51 | M	1:05:33	1407
1564	56 | F	1:05:38	1731
1565	51 | F	1:05:41	116
1565	30 | F	1:05:41	80
1567	18 | F	1:05:42	1233
1567	52 | F	1:05:42	1234
1569	37 | M	1:05:51	342
1570	15 | F	1:05:57	373
1570	37 | F	1:05:57	1528
1572	45 | F	1:06:00	444
1573	47 | F	1:06:02	1396
1573	19 | M	1:06:02	61
1575	56 | M	1:06:03	1062
1575	77 | F	1:06:03	649
1577	51 | M	1:06:04	1236
1577	20 | F	1:06:04	1235
1579	49 | F	1:06:05	648
1580	46 | M	1:06:14	25
1581	52 | F	1:06:19	1302
1582	37 | F	1:06:20	551
1583	14 | M	1:06:21	24
1584	36 | M	1:06:22	1156
1584	32 | F	1:06:22	815
1584	32 | F	1:06:22	1567
1587	37 | M	1:06:25	1443
1588	62 | F	1:06:27	1833
1589	37 | F	1:06:31	1515
1590	45 | M	1:06:38	1529
1590	20 | M	1:06:38	1530
1592	60 | M	1:06:40	1300
1593	61 | M	1:06:41	3838
1594	39 | F	1:06:43	731
1594	28 | F	1:06:43	209
1596	28 | F	1:06:49	224
1597	32 | M	1:06:50	187
1598	28 | M	1:06:52	137
1599	35 | F	1:07:11	477
1600	43 | M	1:07:12	76
1601	42 | F	1:07:14	75
1602	50 | F	1:07:22	567
1603	50 | F	1:07:23	969
1604	48 | F	1:07:24	2173
1605	48 | M	1:07:25	2174
1606	22 | F	1:07:26	2231
1607	69 | F	1:07:29	867
1608	40 | F	1:07:30	1351
1608	37 | F	1:07:30	1546
1610	62 | F	1:07:31	1044
1611	45 | F	1:07:33	1900
1612	32 | M	1:07:36	104
1613	47 | F	1:07:37	1358
1614	45 | F	1:07:39	171
1614	37 | F	1:07:39	710
1616	38 | F	1:07:50	727
1617	39 | M	1:07:52	1060
1618	32 | F	1:07:55	1248
1619	32 | F	1:07:56	552
1620	23 | F	1:07:58	1880
1621	65 | F	1:08:00	1901
1622	31 | F	1:08:05	597
1622	34 | M	1:08:05	1442
1624	33 | F	1:08:06	991
1624	33 | F	1:08:06	598
1626	34 | F	1:08:19	1129
1627	94 | F	1:08:21	2228
1628	38 | F	1:08:33	1134
1629	38 | F	1:08:41	32
1629	29 | F	1:08:41	770
1629	43 | M	1:08:41	1466
1632	55 | M	1:08:44	106
1633	37 | F	1:08:47	340
1634	45 | F	1:08:48	2187
1635	11 | F	1:08:51	2189
1636	33 | M	1:09:01	538
1637	37 | M	1:09:01	1417
1638	72 | M	1:09:02	128
1639	33 | F	1:09:05	539
1640	67 | F	1:09:06	129
1641	66 | F	1:09:09	407
1642	52 | F	1:09:16	786
1642	63 | M	1:09:16	401
1644	51 | F	1:09:17	1107
1645	44 | M	1:09:18	833
1646	32 | M	1:09:38	998
1646	31 | F	1:09:38	997
1648	29 | F	1:09:46	1325
1648	32 | F	1:09:46	1334
1650	31 | M	1:09:49	1599
1651	29 | F	1:09:52	1598
1652	32 | F	1:10:05	755
1653	56 | M	1:10:06	2216
1654	67 | M	1:10:18	1080
1655	30 | M	1:10:19	603
1655	30 | M	1:10:19	602
1657	65 | F	1:10:20	868
1658	26 | F	1:10:44	564
1659	25 | M	1:11:24	49
1660	57 | F	1:11:27	40
1661	62 | F	1:11:40	1577
1662	65 | F	1:11:43	737
1662	34 | F	1:11:43	800
1664	35 | F	1:12:06	63
1665	32 | M	1:12:13	64
1666	39 | F	1:12:38	546
1667	24 |	1:12:39	933
1668	13 | F	1:12:49	1467
1669	50 | M	1:12:50	2188
1670	31 | F	1:13:04	1252
1671	32 | F	1:13:06	563
1672	31 | F	1:13:09	218
1673	27 | F	1:13:18	1187
1674	32 | F	1:13:20	47
1674	71 | F	1:13:20	811
1676	45 | F	1:13:21	26
1677	23 | M	1:13:25	1816
1678	32 | F	1:13:28	1952
1678	23 | F	1:13:28	1826
1680	62 | F	1:13:30	232
1681	39 | F	1:13:30	1058
1682	23 | F	1:13:35	368
1683	43 | F	1:13:37	596
1684	50 | F	1:13:39	1544
1684	6 | F	1:13:39	2190
1686	30 | M	1:13:41	814
1687	24 | F	1:13:44	1864
1687	27 | F	1:13:44	1945
1689	23 | M	1:13:45	369
1689	52 | F	1:13:45	1375
1691	51 | F	1:13:48	1464
1692	55 | M	1:13:53	503
1693	75 | F	1:13:54	641
1694	32 | F	1:14:01	417
1694	31 | F	1:14:01	1479
1696	81 | M	1:14:01	640
1697	26 | F	1:14:05	1478
1698	38 | F	1:14:09	1503
1699	36 | M	1:14:19	1496
1700	32 | F	1:14:35	338
1701	30 | M	1:14:36	651
1702	37 | F	1:14:37	1632
1703	29 | F	1:14:39	1369
1704	36 | F	1:15:08	902
1705	61 | F	1:15:22	520
1706	32 | F	1:15:27	573
1707	36 | M	1:15:29	1854
1708	34 | F	1:16:23	1247
1709	66 | F	1:16:34	94
1710	27 | F	1:16:46	2153
1711	65 | F	1:18:04	1587
1712	39 | M	1:18:32	1959
1713	35 | F	1:18:34	1960
1714	69 | M	1:18:38	1520
1715	83 | F	1:18:50	1103
1716	85 | M	1:18:52	1104
1717	17 | F	1:19:06	791
1717	29 | F	1:19:06	90
1717	51 | M	1:19:06	789
1717	55 | F	1:19:06	587
1721	26 | F	1:19:09	561
1722	41 | F	1:19:25	850
1723	43 | F	1:19:26	1069
1724	38 | F	1:19:51	254
1725	43 | M	1:20:08	1473
1726	32 | F	1:21:13	1471
1727	62 | F	1:21:15	339
1728	36 | F	1:21:49	1497
1729	53 | M	1:22:26	753
1730	17 |	1:25:05	720
1731	52 | F	1:26:22	1858
1732	52 | M	1:26:29	1859
1733	51 | F	1:31:25	410
1734	49 | F	1:31:35	845
